qtr,project_name,postal_district,25th_percentile,median,75th_percentile,rental_contracts
2020-Q4,10 SHELFORD,11,3.05,4.14,4.25,10
2020-Q4,18 WOODSVILLE,13,3.42,3.55,4.04,15
2020-Q4,1919,9,4.38,4.61,4.82,12
2020-Q4,2 RVG,9,3.92,3.93,4.16,10
2020-Q4,26 NEWTON,11,4.55,4.86,5.07,30
2020-Q4,368 THOMSON,11,3.06,3.24,3.49,24
2020-Q4,38 AMBER,15,2.81,2.89,3.12,10
2020-Q4,38 I SUITES,15,3.52,3.84,3.97,19
2020-Q4,6 DERBYSHIRE,11,4.04,4.45,4.69,28
2020-Q4,76 SHENTON,2,4.79,5.07,5.69,28
2020-Q4,8 @ MOUNT SOPHIA,9,3.63,3.88,4.18,30
2020-Q4,8 BASSEIN,11,4.65,4.87,4.88,15
2020-Q4,8 SAINT THOMAS,9,5.59,5.67,5.93,14
2020-Q4,8@WOODLEIGH,13,3.13,3.39,3.65,32
2020-Q4,A TREASURE TROVE,19,2.48,2.65,2.9,51
2020-Q4,ADANA @ THOMSON,20,3.39,3.57,3.61,11
2020-Q4,ADRIA,11,3.99,4.26,4.3,13
2020-Q4,ALEX RESIDENCES,3,4.62,4.87,5.46,24
2020-Q4,ALEXIS,3,3.86,4.56,5.16,59
2020-Q4,ALLSWORTH PARK,10,2.32,2.42,2.48,11
2020-Q4,ALTEZ,2,5.59,5.97,6.3,33
2020-Q4,AMARYLLIS VILLE,11,3.71,3.87,4.18,28
2020-Q4,AMBER RESIDENCES,15,3.2,3.36,3.61,11
2020-Q4,AMBERGLADES,15,2.7,2.85,3,41
2020-Q4,ANGULLIA PARK RESIDENCES@ORCHARD,10,3.82,4.06,4.32,12
2020-Q4,AQUARIUS BY THE PARK,16,2.28,2.37,2.57,28
2020-Q4,ARCHIPELAGO,16,2.8,3.01,3.31,30
2020-Q4,ARDMORE PARK,10,4.18,4.47,4.7,24
2020-Q4,ARTRA,3,4.58,4.71,5.08,60
2020-Q4,ASCENTIA SKY,3,3.52,3.71,3.92,40
2020-Q4,ASPEN HEIGHTS,9,3.18,3.38,3.52,64
2020-Q4,ASTON MANSIONS,14,2.57,2.67,2.74,10
2020-Q4,ASTORIA PARK,14,2.6,2.82,2.97,31
