 Variables , MAS Core Inflation Measure * (Index) ,     Percent Change Over Corresponding Period Of Previous Year * (Per Cent) , Services Inflation Measure (Index) ,     Percent Change Over Corresponding Period Of Previous Year (Per Cent) , Retail & Other Goods Inflation Measure (Index) ,     Percent Change Over Corresponding Period Of Previous Year (Per Cent) , Electricity & Gas Inflation Measure (Index) ,     Percent Change Over Corresponding Period Of Previous Year (Per Cent) 
 1990 , 62.094 , na , na , na , na , na , na , na 
 1991 , 64.359 , 3.6 , na , na , na , na , na , na 
 1992 , 65.398 , 1.6 , na , na , na , na , na , na 
 1993 , 66.562 , 1.8 , na , na , na , na , na , na 
 1994 , 68.246 , 2.5 , na , na , na , na , na , na 
 1995 , 69.744 , 2.2 , na , na , na , na , na , na 
 1996 , 70.997 , 1.8 , na , na , na , na , na , na 
 1997 , 72.091 , 1.5 , na , na , na , na , na , na 
 1998 , 72.376 , 0.4 , na , na , na , na , na , na 
 1999 , 72.736 , 0.5 , na , na , na , na , na , na 
 2000 , 73.818 , 1.5 , na , na , na , na , na , na 
 2001 , 74.965 , 1.6 , na , na , na , na , na , na 
 2002 , 74.927 , -0.1 , na , na , na , na , na , na 
 2003 , 75.631 , 0.9 , na , na , na , na , na , na 
 2004 , 77.135 , 2 , na , na , na , na , na , na 
 2005 , 78.104 , 1.3 , na , na , na , na , na , na 
 2006 , 79.445 , 1.7 , na , na , na , na , na , na 
 2007 , 81.195 , 2.2 , na , na , na , na , na , na 
 2008 , 85.802 , 5.7 , na , na , na , na , na , na 
 2009 , 85.783 , 0 , na , na , na , na , na , na 
 2010 , 87.083 , 1.5 , na , na , na , na , na , na 
 2011 , 88.97 , 2.2 , na , na , na , na , na , na 
 2012 , 91.238 , 2.5 , na , na , na , na , na , na 
 2013 , 92.799 , 1.7 , na , na , na , na , na , na 
 2014 , 94.607 , 1.9 , 93.602 , na , 98.245 , na , 116.547 , na 
 2015 ,95.076,0.5,94.435,0.9,98.304,0.1,99.649,-14.5
 2016 ,95.933,0.9,95.577,1.2,98.577,0.3,87.893,-11.8
 2017 ,97.327,1.5,97.033,1.5,98.769,0.2,95.831,9.0
 2018 ,98.966,1.7,98.448,1.5,100.14,1.4,105.006,9.6
 2019 ,100.0,1.0,100.0,1.6,100.0,-0.1,100.0,-4.8
 2020 ,99.845,-0.2,99.46,-0.5,98.501,-1.5,91.638,-8.4
